text,sentiment
እውነት ነዉ ምርታማነትን ማሳደግ የሁላችንንም የኑሮ እድገት ዪጨምራል።,Positive
ምርታማ መሆን አቅቶን ስንዴ እንድንለምን ያደረገን ምንድነው? የስራ ባህላችን፣ በጥቃቅን አጀንዳዎች ላይ እርስ በእርስ መገፋፋታችንና አለመተማመናችን፣ ያለንን ሀብት በአግባቡ ከተጠቀምንበት ለሁላችንም በቂ እንደሆነ አለመረዳታችን ነው።,Positive
አንበሳዬ በርታ,Neutral
ምንድን ነው ነገሩ ይሄን ተስማምቶ ከወረደ በጣም መጥፎ ነው። ይግል ንብረቱ አረገው እንዴ ሰውዬው,Neutral
በጣም እኮ ያሳዝናል በእውነት እንዴት ያለ የሞራል ዝቅጠት ውስጥ እንደገባን ግን የፊልሙ ርዕስ ምንድን ነው ?,Negative
ፕሬዝዳንት ሀሰን ሼክ ሞሀሙድ በድጋሚ የሶማሊያ ፌደራላዊ ሪፐብሊክ ፕሬዝዳንት ሆነው በመመረጥዎ እንኳን ደስ ያለዎት ለማለት እወዳለሁ።,Positive
አንተ ክብር ለሰው ልጅ ትሰጣለክ እናመሰግናለን።,Positive
ፈጣሪ ለሰው ልጆች ደስታ ሲል የሰጠውን የዒድ በዓል መላው ሕዝበ ሙስሊም በሐሴት ያከብረዋል። ,Positive
ኢትዮጵያ ምንም አላጣችም ግን ስራ ትተው ክፋት እና ምቀኝነትን እንደ አንድ የትምህርት ዲፓርትመንት የሚያጠና በጣሙን በዛ።,Neutral
እኛ ያጣነው የሚበላ ዳቦ እንጂ የሚያስክር ቢራ አይደለም!,Negative
ቢያፍኑህ ጥሩ ነበረ።,Negative
የጀግኖችን አገር ለጀግኖች ለማስረከብ ሌት ከቀን ደክመሀል ፈጣሪ። እድሜና ጤና አብዝቶ ይሰጥልን።,Positive
ቱ ሲሙን ጠራሁ።,Negative
ወደው አይስቁ አለች አያቴ የራሷ እያረረ የሠው ታማስላለች።,Negative
ቀይ መስቀል ይኑርልን፡ የእርዳታ መግብ እየበላን ንዋጋለን።,Negative
ምርጥ ድምፅ፣ ግጥም፣ ዜማ፣ ክሊፕ የምርጦች ምርጥ።,Positive
ይህ ዘፈን አስደናቂ የጥበብ ስራ ነው።,Positive
ፎጋሪ,Negative
ድሮም በአቅ መገድ ላይ ያለ ነገር ፈተናው ብዙ ነው።,Positive
እባካችሁን በተቻለ መጠን እዉነትን ባህል ለማድረግ ሞክሩ ዉሽት አይጠቅማችሁም ምክንያቱም ዉሽት ሁሌም እንደ ፈስ ቦኖ የሚጠፋ እንጂ አንድም ጥቅም አይሰጥም።እናንተ ብቻ ሳትሆኑ አብዛኛዎቹ ሚዲያዎች በዉሸት ተጠምቀዋል ያሳዝናል።,Positive
መልካም ሥራህን ቀጥል፥ ልማትህን ቀጥል። ብዙ በሰራህ ቁጥር ብዙ ተችት፣ብዙ መነቀፍ፣ ብዙ መጠላት፣እንደምደርስብህ አትዘንጋ። ምክንያቱም ብዙ ሰዎች ስትፈርስ እንጂ ስትገነባ ስትወድቅ እንጂ ስትነሳ ደስ አይላቸውም! አንተ ግን እጅህ አይላላ!,Positive
እንዲህ መልማቱን ስንሰማ እኛም ደንግጠናል,Neutral
ውድ ወንድሜ ይሄ የመጀመሪያው ነው ይቀጥላል ! ብዙ ስላም ብዙ እርቅ ይሆናል!,Positive
መልካም ተግባር ነው,Positive
ፍየል ወዲያ ቅዝምዝም ወዲያ::,Neutral
ቀልዲህ አይጠገብም ኮ።,Negative
እዬዬም ሲደላ ነዉ፤ የድሎት ወሬ ትተህ ለሕዝቡ የምግብ ዘይት አቅርብለት።,Negative
እውቀት አርነት ያወጣል።,Positive
መልካም ስራ እና መልካምን ስም ትተው አልፈዋል።,Positive
ኢትዮጵያ ያገለገሏትን ታከብራለች! ታመሰግናለች! ለኢትዮጵያ ሰርቶ መሞት ማረፍ እንጂ መሞት አይደለም!,Positive
ጤነኛ መሳይ እብድ ነው።,Negative
ተስፋ ሰጪ ነው::,Positive
ጥሩ ነው ግን የዚህ አይነት ስራ በሌሎች ክልል ቢተገበር,Positive
ደስ የሚል የምሳ ኘሮግራም!,Positive
በጣም ትልቅ ሰራ ነዉ,Positive
የኋላ ኋላ ጅልነትና ቂልነት የታላቆችን ቤት ያፈረሳል።,Negative
ጽንፈኛ ለኢትዮጵያ ስጋት ናቸው,Neutral
አገር የሚመራው በጥበብ ነው::,Positive
ይተውት እባክዎን።,Neutral
ዶሮን ሲያታሉዋት በመጫኛ ጣሉዋት,Negative
ቱሪናፋ,Negative
በአማካይ አንድ ጌም ላይ አንድ ጎል እናስቆጥራለን,Positive
የስው ልጅ በሙሉ ሁሉም ቆንጆ ነው ፀባያችን እንጂ አልቻል ያለ,Neutral
አርሰናል ጠንካራና ተፎካካሪ ክለብ ሊሆን የሚችለው አሁን ያለውን የወጪ ፖሊሲ ከቀየረ ብቻ ነው ።,Neutral
በተግባር ስሆን ብያንስ ከPositiveNeutral አማት ቦኸለ እነያለን,Positive
የሚበረታታ ሀሳብ ነው ግን ወሬ ሆኖ እንዳይቀር ብቻ።,Positive
እውነት ነው። ውሃብያዎች ለሀገርና ለወገን አይጠቅሙም።,Positive
ሀቅ መቼም ቢሆን ተደፍኖ አይቀርም,Positive
ልጁ ግን የሆነ ቢቸግር ነገር ነዉ,Negative
መልካም ጋብቻ ሙሽሮች,Positive
እንኳን ደስ አለሽ ፈጣሪ ትዳራችሁን የአብርሃምና የሳራ ያርግላችው,Positive
ሰው ራሱ እያየ እስርቤት ይገባል,Neutral
ጀግና ነህ የሀገር ኩራታችን!!,Positive
በጣም ደስ ይላል ሠራዊት ምን ጊዜም ስፓርትእና አካል ብቃት አብሮ ነው በርቱ,Positive
አምላክ በጥበቡ በፍቅሩ ያሳድግልህ,Positive
ልቦናውን ይመልስልህ,Neutral
ዘመንክ የበረከት ነው።ፀጋ ይብዛልክ,Positive
አንተ ሌባ ነህ,Negative
ግን እግዚአብሔር መሀሪና ይቅር ባይ ነዉ,Positive
መታሰርሽ ራሱ ስህተት ነው,Negative
በጣም ተጨንቀን ነበር ባክህ,Positive
አንተ ደነዝ አሺቃባጭ,Negative
በእንቅርት ላይ ጆሮ ደግፍ,Negative
ጭር ሲል አልወድም አልክሳ ።ሰላም ስጠን ኑሮው ይበቃናል,Positive
ከዘር ለቀማ ወታችሁ ስራችሁን ስሩ,Neutral
ክብር ለሚገባዉ ክብር ስጥ,Positive
ቆሻሻ,Negative
ምንድነው የምትቀባጥረው,Negative
ሰው መሆናቸው አፍሪካዊ ኢትዮጰያዊ መሆናቸው ብቻ በቂ ነው፡፡,Positive
በሚገባ፡አነዚህ፡ኩብራን፡መሪዋቻችን፡በትክክል፡አቆምና፡ወርቃማ፡አስተሳሰብ፡ብቆዋችም፡ናቸው።,Positive
ሰገጤ ነገር ነህ::,Negative
መከላከያችን በሁሉም ዘርፍ አኩሪ ነው። አትሌት ወታደር ባንተ እንኳን ደስ አለህ! በታላቅ ዓለም አቀፍ ውድድር ውጤታማ እንደምትሆን ተስፋ አደርጋለሁ።,Positive
ባከተመለት ክልል እና ድርጅት ውስጥ ሆኖ ሹመት ያለውና እብድ ውሻ አንድ ነው!!!,Negative
ኢትዮጵያዊ መልክ ግርማ ሞገስ ያለው ድንቅ መሪ ነው ።,Positive
በተለይ በደቡብ ክልል ያለት አፈፃፀም እጅግ ደካማ ነው።,Positive
እንዳውም የዶ/ር አብይ የለውጥ እንቅስቃሴ ደቡብ ላይ ምንም እየታየ አይደለም!,Neutral
እኛ ለውጥ እምንለው ሽሮ በርበሬ ሽንኩርት ነዳጅ ጤፍ (እንጀራ) የቤት ኪራይ ሲቀንስ ነው ።,Neutral
ንግዱ ዘጭ እንዳለ ነው መርካቶ አቢይን እማያማርር ነጋዴ የለም ንግዱ ሞቷላ።,Neutral
በሀገሪቱ ሲዘዋወር የነበረው ብር የት ገባ ? ከትህነግ ወደ ኦዴፓ? መሸፋፈን የለም ተብለን ግን ብዙ ነገር ተሸፋፍኗል።,Neutral
ከውጭ እርዳታ በገፍ ተገኝቷል ተመልሶ እንደልማዱ ወደ ባለስልጣናት አካውንት ገባ? ካልሆነ ለምን ትንሽ እንኳን ገበያው አይረጋጋም? ,Neutral
ኦህዴድና አቢይ የራሳቸውን የገጽታ ግንባታ ነው የያዙት። ውጭም ሲሄዱ ተግተልትለው ስልጣን ብርቅ እንደሆነባቸው ያስታውቃሉ።,Negative
ቢያንስ ከኦዴፓና ትህነግ መቀላቀል ነበረባቸው,Neutral
ጥሩ ክትትል ነው! ,Neutral
ሙፈርያት ለየትኛውም የሚኒስቴር ማዕረግ ስራ አትመጥንም። ለለውጡም ለህዝብም ታማኝ ያልሆኑ ከመደመር ሂሳብ ይቀነሱ።,Negative
በዩኒቨርሲቲዎች የፓርቲዎች የፖለቲካ ስራ መከልከሉ ጥሩ ነው፡፡ ዋናው እና ለዲሞክራሲም ሆነ ላገሪቷ አደገኛው ከዩንቨርሲቲዎች አካባቢም የበለጠ አደገኛው ሲቪል ሰርቪሱን የተጣባው የኢህአዴግ ስራ ነው፡፡,Neutral
መቶ ከመቶ በሚያስብል ሁኔታ ወያኔ መሩ ኢህአዴግ ያገሪቷን ሲቪል ሰርቪስ አድርጎታል፡፡,Negative
ንጉስ አብይ ምን እናድርግ ብለህ ነው...? ህወሀት 27 አመት ሙሉ ያስተማረችን ስድብ ዘረኝነት ሌብነትና ግብረሰዶምም ሊያስተምሩን ሲጀምሩ ደረስክልን...,Neutral
ንጉስ ሆይ ሺህ አመት ንገስና... ህወሀት ይውደም ኢትዮጵያ ትለምልም,Negative
መጀመርያ አንተ ፅያፍ ቃላቶችን ተማር አንተ ለራስህ ገና ነህ።,Negative
እኔ በመሸታ አልሞትም እያልክ የምታሽሟጥጠዉ እንዴ ሴት እንኳን አያሳፍርህም?,Negative
ሓየሎም አርአያ ለመንካት አስበህ ከሆኔ ሓየሎም አንተ ቀርት ልታሽሟጥጠዉ በአፍህ ለመጥራትም ሞራሉ አይኖርህም ነበር ግን አንተ እኔ ማነኝ ብለህ እራስህን መጠየቅ አትችልበትም።,Negative
አንተ በ44 ኮማንዶ ተከብበህ አንተ የምትገባበት አስቀድሞ ተፈትሾ የምትጓዝ መሪና ምንም ለዉጥ ባልነበረበት አንድ ባለ ስልጣን እንደ አንድ ግለሰብ በሚታይበት ወቅት እንዴት ልታዋዳድረዉ እንዴቻልክ ይገርመኛል።,Negative
አንተ እዉነት እላሃለሁ ጭንቅላትህ አስፍቶ የማሰብና በምናገረዉ ቃላት ሀገር ያፈርሳል ብለህ የማታስብ ፍጡር ነህና ዉሩድ ሳትዋረድ ለአመራር ብቁ አይደለህም።,Negative
መሪዬ ብዬ ስጠራክ ሁሌም በኩራት ነው ❤ ,Positive
ክፉዎችን አትፍራቸው መቼም አያገኙህም ዝም ብለው ነው እንደታሰረ ውሻ የሚጮኹት ስለ ክፉዎች የእግዚአብሔር ቃል በግልፅ ይናገራል,Neutral
"ክፉዎች እንዲህ አይደሉም፥ ነገር ግን ነፋስ ጠርጎ እንደሚወስደው ትቢያ ናቸው።"" ",Neutral
ለዶ/ር አብይ አገር ውስጥ ለምንኖር ሌላ ትረስት ፈንድ አካውንት ይከፈት እኛም የድርሻችንን እንወጣ በቀን Positive ብር አያቅተኝም ከጎንህ ነኝ፡፡,Neutral
የ 2NeutralPositive8 ሙሉውን ከፍያለሁ በ2NeutralPositive9 ደግሞ እከፍላለሁ ቤተሰቦቼንም እንዲከፍሉ አስተባብራለሁ::,Neutral
እናንተ በርቱልን እኛ እግዚአብሔር እንዲያግዛችሁ እንፀልያለን:: እግዚአብሔር ኢትዮጵያን ይባርክ,Positive
አይዞህ እግዚያብሔር ነው የአንተ እረዳት.,Positive
አብቹ አባታችን አንተ እዘዘን እኛ እንቀበላለን። እንኳን ታክስ ሙሉ ደመወዜን እሰጣለው።,Positive
ዲያስፖራዎችም ሀገራችሁን ከወደዳችሁ ተሳተፉ። ሺ ዓመት ንገስልን መሪያችን,Positive
ያምራል ዶ/ር አብይ፡ ይበርቱ፡ መልእክት አለኝ!,Positive
አብይ አየከፈልክልን ላለው መስዋእትነት እግዚአብሔር ይክፈልህ ይደግፍህ በጣም አንወድሀለን በርታ።,Positive
ዶክተር አብይን መውደድ ሀሣቡን መደገፍ ከጤነኛ አይምሮ የሚጠበቅ ነው እንወድካለን እናከብርካለን አብያችን ።,Positive
ኢትዮጵያን እግዛብሄር ይባርክ,Positive
ለመውጋት መነሳት ድፈን የኢትዮጵያ ህዝብ መውጋት ነው ።,Positive
ኣነግ እና ወያኔዋች ጌታ ይፍረድባቹህ ዶ/ር አብይን ታላቁ መሪያችንን የሚተች ዘርፎዋል ፣ ገሎዋል ፣ በገልፅ ዘረኛ ጎጠኛ ነው ።,Positive
ኢትዮጵያዊ መልክ ግርማ ሞገስ ያለው ድንቅ መሪ ነው ።,Positive
አሁንም እፀልያለሁ የኢትዮጵያን በረከት፣ ሠላምና ብልፅግና ቀስፎ የያዘው በአገራችን ባንዲራ ላይ፣ በፓስፖርታችን ላይ እንዲሁም በፌደራል መስሪያ ቤቶች ሄድድ ፔፐር ላይ ያለው የ 666 ምልክት በጌታ በእየሱስ ክርስቶስ ሥም የፈረሠ ይሁን። አሜን!!!,Neutral
የኔ ጠ/ሚ የኔ ዉድ መሪያችን ለኢትዮጵያ ለውጥ ያለእረፍት የሚደክም ምርጥ መሪያችን እግዚአብሔር መርጦ የሰጠን እሳሳልሀለሁ,Positive
እስኪ እኔም የPositiveNeutralNeutral ቀን ስራ አፈፃፀሜን ልገምግም ብዬ ተነሳው ግን ምን ዋጋ አለው ወፍ የለም ዲያጎናል ላይ ነኝ ክቡር ጠቅላይ ሚኒስተር ትንሽ ምክር እና ስልጠና ቢጤ ቢለግሱኝ,Positive
በPositiveNeutralNeutral ቀናት ውስጥ የተገኙ ተጨባጭ ውጤቶች ለይ ብታኮር እና ብተገበር፣ የተሻለ እና ተጨባጭ ውጤት ያስመዘገቡ መሥሪያ ቤቶች እውቅና ብሰጥ።,Positive
ከሚጠበቀው በታች ያሉ መሥሪያ ቤቶች ደግሞ አስፈላጊ እገዛና ማስተካከያ ብደረግ። ውጤቱ ለሕዝብ ይፋ ብሆን።,Positive
አንተን አይነት መሪ በማየቴ አምላኬ ይባረክ!!!!,Positive
አብይ አሁንም ቢሆን አብይ ምርጫችን ጥንቃቄ በደረግበት መልካም ነው!!! ይቅርታ ነው!! ሰላም!!,Positive
ወር ሙሉ አንድየ የቀን ጅብ ሌላ ጊዜ ሌቦች፣ ፀጉር ልውጦች፣ ሰው ከእስር ሲፈታ አይናችሁ የሚቀላ፣ ለውጥ አደናቃፊዎች በማለት ተሳድቦ የጠገበ አብይ አህመድ አትስደቡኝ አለ! ዋ! እኛም 9 ወር ይሙላን!,Neutral
የቀን ጅብ ፣ ኣንበጣዎች ፣ ለንፁ ሰው ሌቦች ፣ ቆመ ቀረቦች ወዘተ እያለ ማነው የዘፈናቸው ? እንድያው አንተ የሰው ክብር ታውቃለህ እንዴ? ከጠቅላይ ሚንስቴር ነኝ ከሚል ሰው ይቅር እና እንደ ማንኛውም ሰው የስው ክብር አታውቅም ።,Negative
ክቡር ጠቅላይ ሚኒስቴር ምነው የትግራይን ህዝብ ሰድበው ጨረሱ እንዴ?ባይሆን እኔም ተሳስቼ ነበር እና ብለው ኣርኣያ ይሁኑ ወይስ ጩሀቴን ቀሙኝ ነው ጉዳዩ?,Neutral
የትግራይ ህዝብ የቀን ጅብ ብሎ አብይ አልተናገረም የትግራይ ህዝብን እየሠደባችሁ ያላችሁት ድሮም አሁንም በስሙ እየነገዳችሁ ያላችሁ በስርአቱ ስትጠቀሙ የነበራችሁ ቡድኖች ናችሁ።,Negative
54ኣሁን ገባህ የዘለፋን ትርጉም?! እኛ ተጋሩን በጋጠ-ወጥ ቃላቶችህ የወረደብን ጥቃት ለግዜዉም ቢሆን ጎድቶን ነበር... ዋጋም ኣስከፍሎናል! ኣሁን ያንተ ማስፈራራት የሚያመጣው ለዉጥ የለም።,Negative
"የቀን ጅቦች"" የሚል የራሱ ብራንድ የሆነ ስድብ ጨምሮ መዓት ስድቦች በ8 ወራት ዉስጥ ያስተማራቸው ሰው፡ አሁን ተገልብጦስድብ፡ ፀያፍ አገላለፅ ስህተት ነው"" እያላቸው ነው። ",Neutral
አብይ ሀቅ ተናገረ እንጂ አላስፈራራም እንደማየው ከሆነ ሌቦችን ግን አስቆጥቷል ትምከተኛ ጠባብ አሸባሪ ወዘተ እያሉ ታፔላ ለጥፈው ሲመሩ የነበሩ እረ ሼም ነው ላሽ በሉ አሁን ለምን ሌብነታችን ታወቀ ነው በጣም ተንጫጫችሁ!!!,Neutral
ክቡር ጠቅላይ ሚኒስትር አብይ አህመድ ይህ መንግስት ቀድሞ ከነበረው መንግስት የተለየ የኢኮኖሚ ፖሊሲ አላቀረበም::,Positive
መንግስት ከታክስ ከሚገኝ ወጪ አልፎ የግለሰቦችን እርሻና ቤት ሽጦ እራሱን ሲያስተዳድር የሀራጅ ሽያጭ መንግስት ሆኗል::,Negative
ካለፋት 27 አመታት ጀምሮ ሲካሄድ የነበረው በመንግስት መሪነት የለም መሬትን ቅሚያ ማዕከል ያደረገ ህጋዊነትና ቅጥያጣ የከተማ እድገት ፌዴራሊዝሙን ያፈረሰ ግንኙነት ነው::,Neutral
በዚሁ ሂደት በህዝብ ላይ የዘር ማጥፋት ወንጀል ፈፅሟል:: በፈጣን ብልፅግና ህልም ህዝብና ሀገር ህግ አልባ ዝርፊያና ምዝበራ ውስጥ ተዘፍቋል::,Neutral
ከዚህ አረንቋ መውጣት ስር ነቀል የሆነ የባለሀብትነት ህግጋትን ማወጅና በስራ ላይ ማዋል ይጠይቃል::,Positive
በደርግ መጀመርያው አመታት መሬት ላራሹ አዋጅ ወደ እኩልነት ያመራን ማህበረሰብ ወደ ሁዋላ መልሶ በዘመናት የድህነት ማቅ ውስጥ የከተተን የኢህአዴግን የኢኮኖሚ ኪሳራ በግዜ ይቀይሩ::,Positive
ይህ ትልቅ ስራና ታላቅ ጀግንነት ከተጎዳው ማህበረሰብ ጋር መመካከርን / ማድመጥን ይጠይቃል::,Positive
ይህን ሳያደርጉ ስለ ነፃ ምርጫ ማሰብ ታጥቦ ጭቃ ይሆናል::,Positive
የፈረንሳይ ህዝብ ነፃ ምርጫ አድርጋ የመረጠው መንግስት በኢኮኖሚ ምክንያት ታሪካዊና ትልቅ ተቃውሞ ውስጥ እንዳለፈ ማየቱ በቂ ነው:: ,Positive
ልክ ነው ከስድብ ኪሳራ እንጂ ትርፍ የለውም።,Positive
የቀን ጀብ የምለው ስድም ስንት ንፁሃን ዜጎች ዋጋ አስከፍለዋል፤  ,Neutral
እግዚአብሔር ይጠብቅህ ብዙ ተስፍ አለን አብቹ አይዛህ !!,Positive
መዋደድ መተሳሰብ አይከፈልበትም ይከፈለዋል እንጅ።,Positive
 አቦ አንትሽ ተመቸሽኝ አንድ ጃምቦ ልልቀቅብሽ ,Positive
የኔ ቆንጆ ሰላም ዋይልኝ። ውድ አደርግሻለሁ እሽ። ,Positive
የት ሄጄ እንዳከበርከኝ እግዜር ያክብርልኝ,Positive
የተጠቃሚስም እሱዋን ደስ ያሰኛት እንጂ…ኸረ አይደለም ስንኝ መጨር መድብል አሳትምላታለ,Positive
የተጠቃሚስም አሜን አሜን ለሁላችንም,Neutral
በጣም አስቂኝ በድብቅ ካሜራ የተቀረጸ ሰዎች ብቻቸውን ሲሆኑ የሚያሳዩዋቸው አስገራሚ ባህርያቶችን ,Neutral
እስቲ መልካም ቀን ፤ በረጅሙ በራሴ ልሳቅ,Positive
ለጀግናዋ እየሩሳሌም ተስፋው እንግዳ ታደሰ,Positive
እንኳ ለጌታችን ለመድኃኒታችን ለየሱስ ክርስቶ የዕርገት በአል አደረሳችሁ አደረሰን,Positive
በቃና ቲቪ ተወዳጅ ስለሆነው,Positive
ፌደራል መንግስት አጠቃላይ በጀት ከ ከነበረት ቢሊዮን ብር በ ወደ ቢሊዮን ብር በማደግ ከ በላይ ጭማሪ አሳይቷል።,Positive
የተጠቃሚስም ክብሩ ይስፍ ለመድሀኒአለም በጣም ሰላምነኝ,Positive
ክብር ለስምህ ይሁን,Positive
የተጠቃሚስም የቀድሞውን ታላቁን መሪ ቃል ገልጸው ስለፈቀዱልን እናመሠግናለን፡፡,Positive
ከለመንኩህ ይልቅ ያደረክልኝ በዝቷልና ተመስገን,Positive
ዲሞክራሲ ሒደት ነው አንድ ቦታና የሆነ ጊዜ የሚጠናቀቅ ፕሮጀክት አይደለም ከዜጎች የአስተሳሰብ ልዕና፣ ልዩነቶችን በክርና በላቀ ሃሳብ ከማሸነፍ ጋር ይያዛል።,Neutral
ያረቢ ዛሬ ጁማአ ነው አላህ የምኞትህ ይሙላልህ ባንተ ላይ ሸር የሚያስቡት አላህ ደግ ደጉን እንዲያዩ ያድርጋቸው,Positive
ጅብ እያልክ ሀገር ሻጭ,Negative
በለጠ ደራሮ ስለፈታህ ቡታጅራ ሚበጠበጥ ከመሰለህ ዳግም ደንቆሮ ነህ!!,Negative
እኛ ፈቺው እስኪታሰር ትዕግስታችን የላቀ ነው!! ቀድሞውንም እኮ ፈቺው/አስፈቺው እስካልታሰረ ማንም ቢታሰር ሰላም አይመጣም ብለን ነበር!! ,Neutral
መረጨት ያለበትን እስካላስረጨሽ ስታስረጪ ትኖሪያለሽ ውሸትን አንግባችሁ ብትገጥሙንም እውነት ስለያዝን እንደምንረታችሁ ከምንም በላይ እርግጠኞች ነን!!,Negative
ባከተመለት ክልል እና ድርጅት ውስጥ ሆኖ ሹመት ያለውና እብድ ውሻ አንድ ነው!!!,Negative
የኦሮሞ ህዝብ መኩራት ካለበት በታከለ ኡማ ነው መኩራት ያለበት እንኳን እናንተ እኛን ተጋሩም አስጨብጭቦናል የእውነት የስራ ሰው ነው ይገባዋል,Positive
ከኦሮሞ ባለስልጣናት ለእኔ ታኬ Positiveኛ ነው,Positive
ያለምዬ የኔ ቆኖጆ ሴት,Positive
ምርጥ ሰው,Positive
ለ ታኬ ያንስበታል!,Positive
ይገባዋል ታኬ ምርጥ ሰው፡,Positive
እሰከሁን ከነበሩት የአ/አ ከንቲባ ሥራ እየሠራ ያለ ምርጥ ኢትዮጲያዊ,Positive
ይገበዋል የኛ ጀግና!! እንደዚህ የሚታይ ስራ ብናከናወን ሀገራች የት በደረሰች ነበር!!!!,Positive
ጀግናው ታኬ በርታ ከስው ሳይሆን ከፈጣሪ ታገኘዋለክ የስንቱን ምስኪን እናት እባ አብሰሀል ፈጣሪ ካተጋ ይሁን,Positive
የንስበተል እንጅ አይበዘትም መጀመርየ አከበብ እኔ ታከለን እንዴነ ጅዋር መስሎኝ ስጠለው አሁን ግን ውስጤነው,Positive
ይገባዋል የኔ አንደኛ,
አይይይይይ እስክንድርን ሊያሳብዱት ነዉለእስክንድርም ራሱ ያደራጃቸዉ ሳተናዉ የሚባል የአደገኛ ወመኔዎች ቡድን ለምን ሽልማት አያዘጋጅለትም?!?,Neutral
ታኬ እንኩዋን ደስ አለህ ይገባሀል በዚህ አግጣሚ እጣ የወጣልንን ኮንደምንየም አዋውሉን,Positive
የተቋማት ሥያሜና አሰራሮች ዘመኑን ወይንም የሕዝቡን ጥያቄ ያገናዘቡ ሆነው መደራጀቱ በእጅጉ የሚያረካ ነው።,Neutral
አምሮብሀል ሸበላዬ,Positive
እንኳን ለዚህ አበቃህ ገና ታሪክ ትሰራለህ በርታልን,Positive
አብቹ በርታ አንተ እኮ የዓለመችን ምርጡ አመራር ነህ!!!!,Positive
ምርጡ መሪዬ ሺ አመት ንገስ ደስ ብሎኛል,Positive
የኔ ትሁት መሪ በርታ ሁሉም መልካም ይሆናል አንተን የሚቃወሙ ዘረኛ ወይም ሌባ ነው ኢትዮጲያችን ትበለፅጋለች,Positive
ክቡር ጠቅላይ ሚኒስተራችን ፡እናከብራለን፡እንወዳለን፡ ከዚህ ውጪ የተሻለሁ አማራጭ የለም፡የሚያዋጣን አንድ መሆን ብቻ ነው። አዎ የተበታተነ ጉልበት መሰብሰብ አለብን፡ ሰብስበን በቅርቡ ወደ ከፍታ እንወጣለን፡ ሁልግዜም ከጎንህ ነን፡,Positive
እንካን ደስ አለክ እኔ ካንተ ጋር ነኝ,Positive
የኔ ጀግና እ/ር ከክፉ ይጠብቅህ አንተ ከልብህ እየሠራህ ነው ለአንዳንዶች አልመሥል ብሎ እንጂ,Positive
ጀግናችን ፤ እናመሰግናለን !!!,Positive
ጀግናነህ ተሳክቶልሃል በርታ ገና ቡዙ እንጠብቃለን,Positive
ክቡር ም/ ጠ/ ሚንስትር አቶ ደመቀ መኮንን ስኬት እና ረጅም እድሜ ነው ለእናንተ ፀሎቴ,Positive
ጀግናዬ በርታ ውለታህን አንረሳውም,Positive
ደሜዋ ሁሌም ኑርልን,Positive
የኛ ጀግና ,Positive
ዝምተኛው ጀግና,Positive
ጎበዝ ጀግና የለውጡ ሞተር አቶ ደመቀ እናከብረዋለን.,Positive
ጨዋ ሰዉ እግዚአብሔር ይባርኮት,Positive
